Country,Total Cases,Total Deaths,TOTCases_1M,TOTDeath_!M,TotalTested
Afghanistan,38162,1402,977,36,102598
Albania,9380,280,3260,97,57618
Angola,2624,107,79,3,64747
Argentina,408426,8457,9023,187,1242269
Armenia,43750,877,14760,296,205450
Australia,25670,611,1005,24,6167592
Austria,27166,733,3013,81,1172092
Azerbaijan,36309,531,3576,52,917027
Bahrain,51574,189,30150,110,1100729
Bangladesh,310822,4248,1884,26,1537749
Belarus,71687,676,7587,72,1527049
Belgium,84599,9891,7294,853,2261043
Benin,2145,40,176,3,118206
Bolivia,115354,4938,9860,422,239073
Bosnia and Herzegovina,19793,598,6039,182,185125
Botswana,1633,6,692,3,109547
Brazil,3862311,120896,18149,568,14352484
Bulgaria,16190,613,2333,88,404683
Burundi,445,1,37,0,24659
Cameroon,19142,411,718,15,149000
Canada,127940,9117,3385,241,5440447
CAR,4700,61,970,13,31042
Chile,409974,11244,21416,587,2400522
China,85031,4634,59,3,90410000
Colombia,607938,19364,11927,380,2715591
Costa Rica,39699,418,7781,82,146047
Croatia,10123,184,2468,45,166638
Cuba,3973,94,351,8,392785
Cyprus,1487,20,1230,17,286736
Czechia,24367,423,2275,39,896813
Denmark,16891,624,2914,108,2433762
Dominican Republic,94241,1681,8673,155,367146
Ecuador,113648,6555,6426,371,328491
Egypt,98727,5399,962,53,135000
El Salvador,25635,713,3949,110,312849
Equatorial Guinea,4941,83,3504,59,51944
Estonia,2373,64,1789,48,147902
Eswatini,4561,91,3925,78,30007
Ethiopia,51122,793,443,7,890929
Finland,8077,335,1457,60,637159
France,277943,30606,4257,469,6323472
Gabon,8505,53,3807,24,116252
Gambia,2963,96,1221,40,13354
Georgia,1469,19,368,5,355486
Germany,243295,9364,2902,112,11208091
Ghana,44205,276,1418,9,442185
Greece,10134,262,973,25,940882
Guatemala,73912,2740,4113,152,241959
Guinea,9371,59,711,4,23588
Guinea-Bissau,2205,34,1116,17,1500
Haiti,8209,201,718,18,23322
Honduras,59645,1842,6007,185,142638
Hong Kong,4802,88,640,12,780415
Hungary,5961,614,617,64,424270
India,3619169,64617,2618,47,41461636
Indonesia,172053,7343,628,27,2224337
Iran,373570,21462,4438,255,3184857
Iraq,231177,6959,5727,172,1587326
Ireland,28760,1777,5814,359,824712
Israel,114020,919,12397,100,2279487
Italy,268218,35477,4437,587,8591341
Ivory Coast,17948,115,678,4,126552
Jamaica,2113,20,713,7,57075
Japan,67264,1264,532,10,1455610
Jordan,1966,15,192,1,819171
Kazakhstan,105684,1523,5617,81,2434444
Kenya,34057,574,631,11,450146
Kuwait,84636,530,19771,124,614129
Kyrgyzstan,43820,1058,6699,162,267718
Latvia,1393,34,740,18,250709
Lebanon,16870,160,2474,23,520110
Lesotho,1085,31,506,14,15632
Libya,13423,232,1949,34,111448
Lithuania,2874,86,1058,32,637509
Madagascar,14843,191,534,7,57736
Malawi,5536,174,288,9,44296
Malaysia,9334,126,288,4,1243540
Mali,2773,126,136,6,37666
Mauritania,7016,159,1503,34,69937
Mauritius,355,10,279,8,227409
Mexico,591712,63819,4581,494,1334331
Moldova,36700,992,9101,246,207925
Morocco,61399,1111,1660,30,1890964
Mozambique,3821,23,122,1,94696
Myanmar,775,6,14,0,157843
Namibia,7365,72,2890,28,60065
Nepal,38561,221,1320,8,682343
Netherlands,70140,6224,4092,363,1455274
New Zealand,1729,22,346,4,750808
Niger,1175,69,48,3,9052
Nigeria,53865,1013,260,5,402070
North Macedonia,14330,600,6878,288,147819
Norway,10643,264,1961,49,686202
Oman,85544,677,16685,132,309212
Pakistan,295636,6288,1334,28,2603129
Palestine,22204,152,4337,30,263288
Panama,92065,1995,21283,461,334297
Papua New Guinea,459,5,51,1,15592
Paraguay,17105,308,2393,43,190169
Peru,647166,28788,19584,871,3191850
Philippines,217396,3520,1980,32,2558157
Poland,66870,2033,1767,54,2701553
Portugal,57768,1819,5668,178,1976482
Qatar,118575,197,42230,70,624609
Romania,86785,3578,4516,186,1795633
Russia,990326,17093,6786,117,36426850
Rwanda,4020,16,309,1,404944
S. Korea,19699,323,384,6,1924170
Saudi Arabia,314821,3870,9020,111,5026127
Senegal,13556,284,806,17,145128
Serbia,31365,711,3592,81,925208
Singapore,56771,27,9691,5,1832813
Slovakia,3876,33,710,6,334344
Slovenia,2865,133,1378,64,158236
South Africa,625056,14028,10517,236,3674872
South Sudan,2519,47,225,4,12044
Spain,455621,29011,9744,620,8517446
Sri Lanka,3012,12,141,1,219162
Sudan,13189,823,300,19,401
Sweden,83958,5821,8305,576,1094856
Switzerland,42014,2005,4849,231,1010948
Taiwan,488,7,20,0,87291
Thailand,3411,58,49,1,749213
Togo,1396,27,168,3,64679
Trinidad and Tobago,1683,21,1202,15,23429
Tunisia,3685,76,311,6,142194
Turkey,268546,6326,3179,75,7028390
UAE,69690,382,7032,39,7011895
Uganda,2928,30,64,1,367423
UK,334467,41499,4923,611,16273209
Ukraine,119074,2527,2726,58,1536171
Uruguay,1585,44,456,13,172081
USA,6173236,187224,18632,565,81830079
Uzbekistan,41424,313,1235,9,1377915
Venezuela,45868,381,1614,13,1754575
Vietnam,1040,32,11,0,1009145
Yemen,1953,564,65,19,120
Zambia,12025,287,651,16,114401
Zimbabwe,6412,196,430,13,149748
